Subj	Date	SoundStim	arousal1.RT	arousal1.RESP	valence1.RT	valence1.RESP
10896	20111122	 815.wav	 5904	 3	 483	 5	
10896	20111122	 602.wav	 684	 8	 2689	 7	
10896	20111122	 375.wav	 1438	 6	 2587	 6	
10896	20111122	 351.wav	 2213	 5	 594	 5	
10896	20111122	 502.wav	 2056	 5	 1530	 5	
10896	20111122	 277.wav	 963	 3	 859	 7	
10896	20111122	 352.wav	 2039	 4	 4972	 5	
10901	20111206	 291.wav	 2911	 5	 905	 5	
10901	20111206	 711.wav	 1487	 5	 1485	 5	
10901	20111206	 289.wav	 1763	 5	 430	 5	
10901	20111206	 115.wav	 3048	 5	 2453	 5	
10901	20111206	 254.wav	 2421	 5	 1820	 5	
10901	20111206	 252.wav	 1540	 5	 3345	 5	
10901	20111206	 374.wav	 2387	 5	 1203	 5	
10901	20111206	 244.wav	 1166	 5	 1170	 5	
10901	20111206	 724.wav	 1246	 5	 1069	 5	
10901	20111206	 241.wav	 3438	 6	 2100	 6	
10901	20111206	 817.wav	 2320	 4	 3803	 6	
10901	20111206	 808.wav	 4525	 5	 3852	 5	
10901	20111206	 816.wav	 2071	 3	 2012	 5	
10901	20111206	 815.wav	 2554	 5	 1419	 5	
10901	20111206	 224.wav	 1301	 5	 1906	 5	
10901	20111206	 284.wav	 3502	 7	 2064	 5	
10901	20111206	 363.wav	 5717	 5	 483	 5	
10901	20111206	 171.wav	 1115	 5	 1264	 5	
10901	20111206	 624.wav	 1239	 5	 960	 5	
10901	20111206	 424.wav	 3356	 6	 1284	 5	
10901	20111206	 220.wav	 4675	 4	 404	 5	
10901	20111206	 109.wav	 2558	 3	 2344	 5	
10901	20111206	 322.wav	 720	 5	 510	 5	
10901	20111206	 626.wav	 1382	 5	 584	 5	
10901	20111206	 722.wav	 1030	 5	 1198	 5	
10901	20111206	 700.wav	 1213	 5	 1414	 5	
10901	20111206	 351.wav	 2054	 5	 1005	 5	
10901	20111206	 373.wav	 1125	 5	 1081	 5	
10901	20111206	 627.wav	 989	 5	 1143	 5	
10901	20111206	 826.wav	 1396	 5	 1118	 5	
10901	20111206	 701.wav	 1275	 5	 934	 5	
10901	20111206	 368.wav	 2470	 6	 3498	 4	
10901	20111206	 296.wav	 2114	 5	 1623	 5	
10901	20111206	 111.wav	 2493	 2	 6640	 5	
